brand,name,model_number,category,sub_category,price_inr,price_usd,warranty,description,full_specifications,unit_of_measure,min_order_quantity,lead_time_days,gst_rate,image_url,needs_review,source_file,data_quality_score
Liberty,Liberty 16-2C-EX - 16 AWG 2 Core OFC - Extra Flex Speaker Cable,16-2C-EX,Audio,Loudspeaker / Speaker,34985.0,418.98,Not Specified,"16 AWG 2 Core OFC - Extra Flex Speaker Cable,150m Spool","16 AWG 2 Core OFC - Extra Flex Speaker Cable,150m Spool",spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 16-2C-BLK - 16 AWG 2 Core Speaker Cable,16-2C-BLK,Audio,Loudspeaker / Speaker,24599.0,294.6,Not Specified,"16 AWG 2 Core Speaker Cable,305m Spool","16 AWG 2 Core Speaker Cable,305m Spool",spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 18-2C-GRY - 18AWG 2 Core Speaker Cable,18-2C-GRY,Audio,Loudspeaker / Speaker,17067.0,204.4,Not Specified,"18AWG 2 Core Speaker Cable,305m Spool","18AWG 2 Core Speaker Cable,305m Spool",spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 14-2C-BLK - 14 AWG 2 Core Speaker Cable.305m Spool,14-2C-BLK,Audio,Loudspeaker / Speaker,38082.0,456.07,Not Specified,14 AWG 2 Core Speaker Cable.305m Spool,14 AWG 2 Core Speaker Cable.305m Spool,spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty 12-2C-BLK - 12AWG 2 Core Speaker Cable,12-2C-BLK,Audio,Loudspeaker / Speaker,51813.0,620.51,Not Specified,"12AWG 2 Core Speaker Cable,305m Spool","12AWG 2 Core Speaker Cable,305m Spool",spool,1,21,18,,False,Liberty.csv,100
Liberty,Liberty M-6 - 6' Tabletop VGA and Audio hybrid cables,M-6,Cables & Connectivity,AV Cable,2824.0,33.82,Not Specified,6' Tabletop VGA and Audio hybrid cables,6' Tabletop VGA and Audio hybrid cables,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty M-10 - 10' Tabletop HDMI,M-10,Cables & Connectivity,AV Cable,9987.0,119.6,Not Specified,"10' Tabletop HDMI, VGA and Audio hybrid cables","10' Tabletop HDMI, VGA and Audio hybrid cables",piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty CC-1M - 1m USB 3.2(GEN2) Molded USB C(Male) With Charging(15W),CC-1M,Cables & Connectivity,AV Cable,1343.0,16.08,Not Specified,1m USB 3.2(GEN2) Molded USB C(Male) With Charging(15W),1m USB 3.2(GEN2) Molded USB C(Male) With Charging(15W),piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPCC-005M - 5m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,UPCC-005M,Cables & Connectivity,Fiber Optic,13958.0,167.16,Not Specified,5m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,5m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPCC-008M - 8m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,UPCC-008M,Cables & Connectivity,Fiber Optic,17437.0,208.83,Not Specified,8m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,8m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPCC-010M - 10m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,UPCC-010M,Cables & Connectivity,Fiber Optic,19352.0,231.76,Not Specified,10m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,10m USB 3.2 GEN2 Active Optical C(Male)-C (Male)  Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPCC-015M - 15m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,UPCC-015M,Cables & Connectivity,Fiber Optic,24158.0,289.32,Not Specified,15m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,15m USB 3.2 GEN2 Active Optical C(Male)-C (Male)  Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPCC-030M - 30m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,UPCC-030M,Cables & Connectivity,Fiber Optic,31526.0,377.56,Not Specified,30m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,30m USB 3.2 GEN2 Active Optical C(Male)-C (Male) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty USBAAF-10 - 10' USB 2.0 A (Male) to A (Female) Molded Cable,USBAAF-10,Cables & Connectivity,AV Cable,307.0,3.68,Not Specified,10' USB 2.0 A (Male) to A (Female) Molded Cable,10' USB 2.0 A (Male) to A (Female) Molded Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty USBAAF-15 - 15' USB 2.0 A (Male) to A (Female) Molded Cable,USBAAF-15,Cables & Connectivity,AV Cable,424.0,5.08,Not Specified,15' USB 2.0 A (Male) to A (Female) Molded Cable,15' USB 2.0 A (Male) to A (Female) Molded Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPAAF-005M - 5m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,UPAAF-005M,Cables & Connectivity,Fiber Optic,13784.0,165.08,Not Specified,5m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,5m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPAAF-008M - 8m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,UPAAF-008M,Cables & Connectivity,Fiber Optic,15802.0,189.25,Not Specified,8m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,8m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPAAF-010M - 10m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,UPAAF-010M,Cables & Connectivity,Fiber Optic,17143.0,205.31,Not Specified,10m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,10m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPAAF-015M - 15m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,UPAAF-015M,Cables & Connectivity,Fiber Optic,20504.0,245.56,Not Specified,15m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,15m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Liberty,Liberty UPAAF-030M - 30m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,UPAAF-030M,Cables & Connectivity,Fiber Optic,33179.0,397.35,Not Specified,30m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,30m USB 3.2 GEN2 Active Optical A(Male)-A(Female) Plenum Cable,piece,1,7,18,,False,Liberty.csv,100
Dell,Dell Dell 75 4K - Interactive touch Moniter,Dell 75 4K,General AV,Needs Classification,315000.0,3772.46,Not Specified,Interactive touch Moniter,Interactive touch Moniter,piece,1,14,18,,True,Dell & Heckler.csv,70
Dell,Dell 3090 - Desktop,3090,Computers,Desktop / SFF PC,48000.0,574.85,Not Specified,Desktop,Desktop,piece,1,14,18,,False,Dell & Heckler.csv,80
Dell,Dell 7080 - Desktop,7080,Computers,Desktop / SFF PC,51500.0,616.77,Not Specified,Desktop,Desktop,piece,1,14,18,,False,Dell & Heckler.csv,80
Dell,Dell KM3322W - Wireless Keyboard and Mouse,KM3322W,Peripherals & Accessories,Input Devices,1250.0,14.97,Not Specified,Wireless Keyboard and Mouse,Dell Wireless Keyboard and Mouse,piece,1,7,18,,False,Dell & Heckler.csv,100
Dell,Dell 5000,5000,General AV,Needs Classification,60000.0,718.56,Not Specified,,Dell,piece,1,14,18,,True,Dell & Heckler.csv,50
Dell,Dell D9 - mount,D9,General AV,Needs Classification,8500.0,101.8,Not Specified,mount,Dell mount,piece,1,14,18,,True,Dell & Heckler.csv,50
Dell,Dell H730-BG - Heckler AV Cart for Logitech Rally Bar - Black Grey,H730-BG,Video Conferencing,Video Bar,159000.0,1904.19,Not Specified,Heckler AV Cart for Logitech Rally Bar - Black Grey,Heckler AV Cart for Logitech Rally Bar - Black Grey,piece,1,14,18,,False,Dell & Heckler.csv,100
Dell,Dell H759X-BG - Portrait Stand for iPad 10th Generation,H759X-BG,Computers,Tablet,13440.0,160.96,Not Specified,Portrait Stand for iPad 10th Generation,Portrait Stand for iPad 10th Generation,piece,1,14,18,,False,Dell & Heckler.csv,100
Dell,Dell T519 - PoE to USB-C Power and Data Adapter,T519,Infrastructure,Power Management,9660.0,115.69,Not Specified,PoE to USB-C Power and Data Adapter,PoE to USB-C Power and Data Adapter,piece,1,7,18,,False,Dell & Heckler.csv,100
Dell,Dell T525 - USB-C Right Angle Adapter,T525,Cables & Connectivity,"Connectors, Adapters & Dongles",840.0,10.06,Not Specified,USB-C Right Angle Adapter,USB-C Right Angle Adapter,piece,1,7,18,,False,Dell & Heckler.csv,100
Dell,Dell H735-BG - Heckler AV Credenza 4U - Black Grey,H735-BG,Furniture,AV Credenza / Stand,151800.0,1817.96,Not Specified,Heckler AV Credenza 4U - Black Grey,Heckler AV Credenza 4U - Black Grey,piece,1,14,18,,False,Dell & Heckler.csv,100
Dell,Dell H806A-BG - Heckler ADA Panel Pair 24X24 - Black Grey,H806A-BG,General AV,Needs Classification,8175.0,97.9,Not Specified,Heckler ADA Panel Pair 24X24 - Black Grey,Heckler ADA Panel Pair 24X24 - Black Grey,pair,1,14,18,,True,Dell & Heckler.csv,70
Extron,Extron 26-720-01 - 4K/60 USB-C male to HDMI female,26-720-01,Cables & Connectivity,AV Cable,0.0,0.0,Not Specified,"4K/60 USB-C male to HDMI female, 6"" (15 cm)","4K/60 USB-C male to HDMI female, 6"" (15 cm)",piece,1,7,18,,False,Extron.csv,50
Extron,Extron 03-024-01 - Onsite Commissioning of NAV System by Extron Engineer,03-024-01,General AV,Needs Classification,300000.0,3592.81,Not Specified,Onsite Commissioning of NAV System by Extron Engineer,Onsite Commissioning of NAV System by Extron Engineer,set,1,14,18,,True,Extron.csv,70
Extron,Extron 70-622-11 - Single Space AAP,70-622-11,Cables & Connectivity,Wall & Table Plate Module,3720.0,44.55,Not Specified,"Single Space AAP, Black","Single Space AAP, Black",piece,1,7,18,,False,Extron.csv,100
Extron,Extron 70-622-21 - Single Space AAP,70-622-21,Cables & Connectivity,Wall & Table Plate Module,3720.0,44.55,Not Specified,"Single Space AAP, White","Single Space AAP, White",piece,1,7,18,,False,Extron.csv,100
Extron,Extron 70-637-02 - Single Space MAAP,70-637-02,Cables & Connectivity,Wall & Table Plate Module,3720.0,44.55,Not Specified,"Single Space MAAP, Black","Single Space MAAP, Black",piece,1,7,18,,False,Extron.csv,100
Extron,Extron 70-637-03 - Single Space MAAP,70-637-03,Cables & Connectivity,Wall & Table Plate Module,3720.0,44.55,Not Specified,"Single Space MAAP, White","Single Space MAAP, White",piece,1,7,18,,False,Extron.csv,100
Extron,Extron 60-1673-01 - Cable Equalizer for 12G-SDI,60-1673-01,Cables & Connectivity,AV Cable,58560.0,701.32,Not Specified,Cable Equalizer for 12G-SDI,Cable Equalizer for 12G-SDI,piece,1,7,18,,False,Extron.csv,100
Extron,Extron 100-475-01 - VGA Female to Female Gender Changer,100-475-01,Cables & Connectivity,"Connectors, Adapters & Dongles",6720.0,80.48,Not Specified,VGA Female to Female Gender Changer,VGA Female to Female Gender Changer,piece,1,7,18,,False,Extron.csv,100
Extron,Extron 100-474-01 - 15-pin HD VGA Male to Male Gender Changer,100-474-01,Cables & Connectivity,"Connectors, Adapters & Dongles",6720.0,80.48,Not Specified,15-pin HD VGA Male to Male Gender Changer,15-pin HD VGA Male to Male Gender Changer,piece,1,7,18,,False,Extron.csv,100
Extron,Extron 70-636-02 - Single Space AAP,70-636-02,Cables & Connectivity,Wall & Table Plate Module,3720.0,44.55,Not Specified,"Single Space AAP, Black","Single Space AAP, Black",piece,1,7,18,,False,Extron.csv,100
Extron,Extron 70-636-03 - Single Space AAP,70-636-03,Cables & Connectivity,Wall & Table Plate Module,3720.0,44.55,Not Specified,"Single Space AAP, White","Single Space AAP, White",piece,1,7,18,,False,Extron.csv,100
Extron,Extron 70-1148-02 - Full-size Flex55 Module; Black,70-1148-02,General AV,Needs Classification,5280.0,63.23,Not Specified,Full-size Flex55 Module; Black,Full-size Flex55 Module; Black,piece,1,14,18,,True,Extron.csv,70
Extron,Extron 70-1148-03 - Full-size Flex55 Module; White,70-1148-03,General AV,Needs Classification,5280.0,63.23,Not Specified,Full-size Flex55 Module; White,Full-size Flex55 Module; White,piece,1,14,18,,True,Extron.csv,70
Extron,Extron 26-433-06 - RS-232 Cable: 9-pin D Male to Female - 12' (3.6 m),26-433-06,Cables & Connectivity,AV Cable,3120.0,37.37,Not Specified,RS-232 Cable: 9-pin D Male to Female - 12' (3.6 m),RS-232 Cable: 9-pin D Male to Female - 12' (3.6 m),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-433-01 - RS-232 Cable: 9-pin D Male to Female - 2' (60 cm),26-433-01,Cables & Connectivity,AV Cable,1680.0,20.12,Not Specified,RS-232 Cable: 9-pin D Male to Female - 2' (60 cm),RS-232 Cable: 9-pin D Male to Female - 2' (60 cm),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-433-07 - RS-232 Cable: 9-pin D Male to Female - 25' (7.6 m),26-433-07,Cables & Connectivity,AV Cable,3720.0,44.55,Not Specified,RS-232 Cable: 9-pin D Male to Female - 25' (7.6 m),RS-232 Cable: 9-pin D Male to Female - 25' (7.6 m),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-433-08 - RS-232 Cable: 9-pin D Male to Female - 50' (15.2 m),26-433-08,Cables & Connectivity,AV Cable,5280.0,63.23,Not Specified,RS-232 Cable: 9-pin D Male to Female - 50' (15.2 m),RS-232 Cable: 9-pin D Male to Female - 50' (15.2 m),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-433-03 - RS-232 Cable: 9-pin D Male to Female - 6' (1.8 m),26-433-03,Cables & Connectivity,AV Cable,1920.0,22.99,Not Specified,RS-232 Cable: 9-pin D Male to Female - 6' (1.8 m),RS-232 Cable: 9-pin D Male to Female - 6' (1.8 m),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-671-01 - LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3â),26-671-01,Cables & Connectivity,Fiber Optic,5520.0,66.11,Not Specified,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3â),LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-671-10 - LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8â),26-671-10,Cables & Connectivity,Fiber Optic,9000.0,107.78,Not Specified,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8â),LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-671-02 - LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 2 m (6.6â),26-671-02,Cables & Connectivity,Fiber Optic,6000.0,71.86,Not Specified,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 2 m (6.6â),LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 2 m (6.6â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-671-03 - LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8â),26-671-03,Cables & Connectivity,Fiber Optic,6360.0,76.17,Not Specified,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8â),LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-671-30 - LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4â),26-671-30,Cables & Connectivity,Fiber Optic,17280.0,206.95,Not Specified,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4â),LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-671-05 - LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4â),26-671-05,Cables & Connectivity,Fiber Optic,6960.0,83.35,Not Specified,LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4â),LC to LC Laser-Optimized Multimode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-670-01 - LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3â),26-670-01,Cables & Connectivity,Fiber Optic,6720.0,80.48,Not Specified,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3â),LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 1 m (3.3â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-670-10 - LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8â),26-670-10,Cables & Connectivity,Fiber Optic,9000.0,107.78,Not Specified,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8â),LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 10 m (32.8â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-670-20 - LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 20 m (65.6â),26-670-20,Cables & Connectivity,Fiber Optic,10440.0,125.03,Not Specified,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 20 m (65.6â),LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 20 m (65.6â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-670-03 - LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8â),26-670-03,Cables & Connectivity,Fiber Optic,7560.0,90.54,Not Specified,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8â),LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 3 m (9.8â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-670-30 - LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4â),26-670-30,Cables & Connectivity,Fiber Optic,11160.0,133.65,Not Specified,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4â),LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 30 m (98.4â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 26-670-05 - LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4â),26-670-05,Cables & Connectivity,Fiber Optic,8160.0,97.72,Not Specified,LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4â),LC to LC Bend-Insensitive Singlemode Fiber Optic Cable Assemblies - Plenum - 5 m (16.4â),piece,1,7,18,,False,Extron.csv,100
Extron,Extron 100-331-01 - 3.5 mm Male Stereo Audio Connector - Qty. 10,100-331-01,Cables & Connectivity,"Connectors, Adapters & Dongles",3720.0,44.55,Not Specified,3.5 mm Male Stereo Audio Connector - Qty. 10,3.5 mm Male Stereo Audio Connector - Qty. 10,piece,1,7,18,,False,Extron.csv,100
Extron,Extron 100-458-01 - Captive Screw Connectors: 3.5 mm 2 pole,100-458-01,Cables & Connectivity,"Connectors, Adapters & Dongles",2400.0,28.74,Not Specified,"Captive Screw Connectors: 3.5 mm 2 pole, blue, no tail, Qty 10","Captive Screw Connectors: 3.5 mm 2 pole, blue, no tail, Qty 10",piece,1,7,18,,False,Extron.csv,100
